Code,Country,Region
AFG,Afghanistan,North Africa and Middle East
AGO,Angola,Central Sub-Saharan Africa
ALB,Albania,Central Europe
ARE,United Arab Emirates,North Africa and Middle East
ARG,Argentina,Southern Latin America
ARM,Armenia,Central Asia
AUS,Australia,Australasia
AUT,Austria,Western Europe
AZE,Azerbaijan,Central Asia
BEL,Belgium,Western Europe
BEN,Benin,Western Sub-Saharan Africa
BFA,Burkina Faso,Western Sub-Saharan Africa
BGD,Bangladesh,South Asia
BGR,Bulgaria,Central Europe
BIH,Bosnia & Herzegovina,Central Europe
BLR,Belarus,Eastern Europe
BOL,Bolivia,Andean Latin America
BRA,Brazil,Tropical Latin America
BRB,Barbados,Caribbean
BWA,Botswana,Southern Sub-Saharan Africa
CAF,Central African Republic,Central Sub-Saharan Africa
CAN,Canada,High-income North America
CHE,Switzerland,Western Europe
CHL,Chile,Southern Latin America
CHN,China,East Asia
CIV,Côte d’Ivoire,Western Sub-Saharan Africa
CMR,Cameroon,Western Sub-Saharan Africa
COG,Congo - Brazzaville,Central Sub-Saharan Africa
COL,Colombia,Central Latin America
CRI,Costa Rica,Central Latin America
CUB,Cuba,Caribbean
CYP,Cyprus,Western Europe
CZE,Czechia,Central Europe
DEU,Germany,Western Europe
DJI,Djibouti,Eastern Sub-Saharan Africa
DMA,Dominica,Caribbean
DNK,Denmark,Western Europe
DOM,Dominican Republic,Caribbean
DZA,Algeria,North Africa and Middle East
ECU,Ecuador,Andean Latin America
EGY,Egypt,North Africa and Middle East
ESP,Spain,Western Europe
EST,Estonia,Eastern Europe
ETH,Ethiopia,Eastern Sub-Saharan Africa
FIN,Finland,Western Europe
FRA,France,Western Europe
GAB,Gabon,Central Sub-Saharan Africa
GBR,United Kingdom,Western Europe
GEO,Georgia,Central Asia
GHA,Ghana,Western Sub-Saharan Africa
GIN,Guinea,Western Sub-Saharan Africa
GMB,Gambia,Western Sub-Saharan Africa
GNB,Guinea-Bissau,Western Sub-Saharan Africa
GRC,Greece,Western Europe
GTM,Guatemala,Central Latin America
HND,Honduras,Central Latin America
HRV,Croatia,Central Europe
HTI,Haiti,Caribbean
HUN,Hungary,Central Europe
IDN,Indonesia,Southeast Asia
IND,India,South Asia
IRL,Ireland,Western Europe
IRN,Iran,North Africa and Middle East
IRQ,Iraq,North Africa and Middle East
ISL,Iceland,Western Europe
ISR,Israel,Western Europe
ITA,Italy,Western Europe
JAM,Jamaica,Caribbean
JOR,Jordan,North Africa and Middle East
JPN,Japan,High-income Asia Pacific
KAZ,Kazakhstan,Central Asia
KEN,Kenya,Eastern Sub-Saharan Africa
KGZ,Kyrgyzstan,Central Asia
KHM,Cambodia,Southeast Asia
KOR,South Korea,High-income Asia Pacific
KWT,Kuwait,North Africa and Middle East
LAO,Laos,Southeast Asia
LBN,Lebanon,North Africa and Middle East
LBR,Liberia,Western Sub-Saharan Africa
LCA,St. Lucia,Caribbean
LKA,Sri Lanka,Southeast Asia
LSO,Lesotho,Southern Sub-Saharan Africa
LTU,Lithuania,Eastern Europe
LUX,Luxembourg,Western Europe
LVA,Latvia,Eastern Europe
MAR,Morocco,North Africa and Middle East
MDA,Moldova,Eastern Europe
MDG,Madagascar,Eastern Sub-Saharan Africa
MEX,Mexico,Central Latin America
MKD,Macedonia,Central Europe
MLI,Mali,Western Sub-Saharan Africa
MLT,Malta,Western Europe
MMR,Myanmar (Burma),Southeast Asia
MNE,Montenegro,Central Europe
MNG,Mongolia,Central Asia
MOZ,Mozambique,Eastern Sub-Saharan Africa
MRT,Mauritania,Western Sub-Saharan Africa
MUS,Mauritius,Southeast Asia
MWI,Malawi,Eastern Sub-Saharan Africa
MYS,Malaysia,Southeast Asia
NAM,Namibia,Southern Sub-Saharan Africa
NER,Niger,Western Sub-Saharan Africa
NGA,Nigeria,Western Sub-Saharan Africa
NIC,Nicaragua,Central Latin America
NLD,Netherlands,Western Europe
NOR,Norway,Western Europe
NPL,Nepal,South Asia
NZL,New Zealand,Australasia
OMN,Oman,North Africa and Middle East
PAK,Pakistan,South Asia
PAN,Panama,Central Latin America
PER,Peru,Andean Latin America
PHL,Philippines,Southeast Asia
POL,Poland,Central Europe
PRK,North Korea,East Asia
PRT,Portugal,Western Europe
PRY,Paraguay,Tropical Latin America
ROU,Romania,Central Europe
RUS,Russia,Eastern Europe
RWA,Rwanda,Eastern Sub-Saharan Africa
SAU,Saudi Arabia,North Africa and Middle East
SDN,Sudan,North Africa and Middle East
SEN,Senegal,Western Sub-Saharan Africa
SLE,Sierra Leone,Western Sub-Saharan Africa
SLV,El Salvador,Central Latin America
SRB,Serbia,Central Europe
STP,São Tomé & Príncipe,Western Sub-Saharan Africa
SVK,Slovakia,Central Europe
SVN,Slovenia,Central Europe
SWE,Sweden,Western Europe
SWZ,Swaziland,Southern Sub-Saharan Africa
TCD,Chad,Western Sub-Saharan Africa
TGO,Togo,Western Sub-Saharan Africa
THA,Thailand,Southeast Asia
TJK,Tajikistan,Central Asia
TKM,Turkmenistan,Central Asia
TTO,Trinidad & Tobago,Caribbean
TUN,Tunisia,North Africa and Middle East
TUR,Turkey,North Africa and Middle East
TZA,Tanzania,Eastern Sub-Saharan Africa
UGA,Uganda,Eastern Sub-Saharan Africa
UKR,Ukraine,Eastern Europe
URY,Uruguay,Southern Latin America
USA,United States,High-income North America
UZB,Uzbekistan,Central Asia
VEN,Venezuela,Central Latin America
VNM,Vietnam,Southeast Asia
YEM,Yemen,North Africa and Middle East
ZAF,South Africa,Southern Sub-Saharan Africa
ZMB,Zambia,Eastern Sub-Saharan Africa
ZWE,Zimbabwe,Southern Sub-Saharan Africa
